POINT HUT DISTRICT PARK,GORDON,-35.45581137378915,149.08430158724218,ELECTRIC,DOUBLE,Y,,,,
REMEMBERANCE PARK,CAMPBELL,-35.27989081985249,149.1510077258796,ELECTRIC,DOUBLE,N,STEEL,NO,TAP,
REMEMBERANCE PARK,CAMPBELL,-35.27947593093122,149.15127078352003,ELECTRIC,DOUBLE,,STEEL,NO,TAP,
TELOPEA PARK,BARTON SOUTH,,,ELECTRIC,DOUBLE,Y,STEEL,NO,TAP,
BOWEN PARK,BARTON SOUTH,,,ELECTRIC,DOUBLE,Y,STEEL,NO,NONE,
MOLONGLO REACH WATER SKI,FYSHWICK,,,ELECTRIC,DOUBLE,Y,STEEL,NO,TAP,
MOLONGLO REACH WATER SKI,FYSHWICK,,,ELECTRIC,DOUBLE,Y,STEEL,NO,TAP,
JAMES HARRISON STREET NEIGHBOURHOOD PARK,DUNLOP,,,ELECTRIC,DOUBLE,Y,,,,
EDISON DISTRICT PARK,PHILLIP,-35.34134041511183,149.09026721719138,ELECTRIC,DOUBLE,N,CONCRETE,YES,WALL,
EDISON DISTRICT PARK,PHILLIP,-35.34135859467093,149.09003625142404,ELECTRIC,SINGLE,Y,CONCRETE,YES,WALL,
PHILLIP TOWN CENTRE,PHILLIP,-35.34505813342126,149.0831540980166,ELECTRIC,DOUBLE,N,BRICK,YES,WALL,
PHILLIP TOWN CENTRE,PHILLIP,-35.3448124381079,149.08691577253225,ELECTRIC,DOUBLE,Y,CONCRETE,YES,NONE,
GROOM STREET - PEDESTRIAN PARKLAND,HUGHES,-35.332869488298314,149.0889719915733,WOOD,DOUBLE,N,CONCRETE,NO,LOW,
ARALUEN STREET - NEIGHBOURHOOD PARK,FISHER,-35.36061776783144,149.05728092085437,ELECTRIC,DOUBLE,N,CONCRETE,YES,NONE,
LOWANNA STREET - NEIGHBOURHOOD PARK,BRADDON,-35.264823177488445,149.13324544241698,ELECTRIC,DOUBLE,N,CONCRETE,YES,NONE,
LOWANNA STREET - NEIGHBOURHOOD PARK,BRADDON,-35.26419153693818,149.13398072939992,ELECTRIC,DOUBLE,N,,,,
HAIG PARK,TURNER,-35.269676805965446,149.128439420567,ELECTRIC,DOUBLE,Y,STEEL,NO,TAP,
HAIG PARK,TURNER,-35.268930626060246,149.1265261670954,ELECTRIC,DOUBLE,Y,TILE,YES,TAP,
CORROBOREE PARK,AINSLIE,-35.26902239704774,149.14236208552208,ELECTRIC,DOUBLE,N,STEEL,NO,NONE,
GLEBE PARK,CITY,-35.283530138869736,149.13638451233865,ELECTRIC,DOUBLE,Y,STEEL,NO,TAP,
GLEBE PARK,CITY,-35.2823942736987,149.13664652742972,ELECTRIC,DOUBLE,Y,STEEL,NO,TAP,
GLEBE PARK,CITY,-35.28188989156852,149.13633798464767,ELECTRIC,DOUBLE,Y,STEEL,NO,TAP,
MOLONGLO REACH DISTRICT PARK,CAMPBELL,-35.30459210706816,149.16736624753833,ELECTRIC,DOUBLE,N,STEEL,NO,TAP,
BLACK MOUNTAIN PENINSULA DISTRICT PARK,ACTON,-35.287184879675145,149.10143598784438,ELECTRIC,DOUBLE,N,STEEL,YES,TAP,
BLACK MOUNTAIN PENINSULA DISTRICT PARK,ACTON,-35.29225136284666,149.0995839823143,ELECTRIC,DOUBLE,Y,STEEL,YES,NONE,
BLACK MOUNTAIN PENINSULA DISTRICT PARK,ACTON,-35.291602044204275,149.1001328861308,ELECTRIC,DOUBLE,N,STEEL,YES,TAP,
BLACK MOUNTAIN PENINSULA DISTRICT PARK,ACTON,-35.29218723280686,149.10096897573715,ELECTRIC,DOUBLE,Y,STEEL,NO,TAP,
ACTON PARK DISTRICT PARK,ACTON,-35.286308708304276,149.12471558600586,ELECTRIC,DOUBLE,Y,CONCRETE,YES,NONE,
ACTON PARK DISTRICT PARK,ACTON,-35.28621888604077,149.12439669728315,ELECTRIC,DOUBLE,Y,CONCRETE,YES,NONE,
GINNINDERRA PENINSULA DISTRICT PARK,BELCONNEN,-35.22903485914802,149.07420663256198,ELECTRIC,DOUBLE,Y,STEEL,YES,TAP,
DIDDAMS CLOSE PEDESTRIAN PARKLAND,BELCONNEN,-35.22913409881397,149.07401998246425,ELECTRIC,DOUBLE,Y,STEEL,YES,TAP,
JOYNTON SMITH DRIVE PEDESTRIAN PARKLAND,BELCONNEN,-35.227895857251475,149.06272754914428,ELECTRIC,DOUBLE,Y,STEEL,YES,TAP,
LAKE GINNINDERRA WESTERN FORESHORES,BELCONNEN,-35.22746293031728,149.06344121508812,ELECTRIC,DOUBLE,Y,CONCRETE,YES,TAP,CAST IRON
LAKE GINNINDERRA WESTERN FORESHORES,BELCONNEN,-35.22728270573626,149.06337519244357,ELECTRIC,DOUBLE,Y,CONCRETE,YES,TAP,
LAKE GINNINDERRA WESTERN FORESHORES,BELCONNEN,-35.22723772550238,149.06318843778723,ELECTRIC,DOUBLE,Y,CONCRETE,YES,NONE,DUAL
LAKE GINNINDERRA WESTERN FORESHORES,BELCONNEN,-35.22593987665947,149.0632315141529,ELECTRIC,DOUBLE,Y,CONCRETE,YES,TAP,
LAKE GINNINDERRA WESTERN FORESHORES,BELCONNEN,-35.22470531643638,149.0628243087729,ELECTRIC,DOUBLE,Y,CONCRETE,YES,TAP,CAST IRON
TOTTERDELL STREET PEDESTRIAN PARKLAND,BELCONNEN,-35.23242128827743,149.0602809704526,ELECTRIC,DOUBLE,Y,,,,
GINNINDERRA PENINSULA DISTRICT PARK,BELCONNEN,-35.225729578357466,149.0696018681482,ELECTRIC,DOUBLE,Y,CONCRETE,YES,TAP,
